St  Name                           Version                        Arch   Description                                                  Licenses
ii  install-info                   6.3.0.dfsg.1-1+b1              armhf  Manage installed documentation in info format                GPL-3
ii  iproute2                       4.9.0-1+deb9u1                 armhf  networking and traffic control tools                         GPL-2
ii  iptables                       1.6.0+snapshot20161117-6       armhf  administration tools for packet filtering and NAT            Artistic-2 GPL-2 GPL-2+ custom
ii  iputils-ping                   3:20161105-1                   armhf  Tools to test the reachability of network hosts              GPL
ii  isc-dhcp-client                4.3.5-3+deb9u1                 armhf  DHCP client for automatically obtaining an IP address        GPL-2 ISC
ii  isc-dhcp-common                4.3.5-3+deb9u1                 armhf  common manpages relevant to all of the isc-dhcp packages     GPL-2 ISC
ii  iso-codes                      3.75-1                         all    ISO language, territory, currency, script codes and their tr LGPL-2.1+
ii  iw                             4.9-0.1                        armhf  tool for configuring Linux wireless devices                  ISC
ii  kbd                            2.0.3-2                        armhf  Linux console font and keytable utilities                    GPL-2+ GPL-2-with-exceptions GPL-any
ii  keyboard-configuration         1.164                          all    system-wide keyboard preferences                             GPL-2
ii  keyutils                       1.5.9-9                        armhf  Linux Key Management Utilities                               GPL-2+ LGPL-2+
ii  klibc-utils                    2.0.4-9+rpi1                   armhf  small utilities built with klibc for early boot              GPL-2
ii  kmod                           23-2                           armhf  tools for managing Linux kernel modules                      GPL-2 LGPL-2.1
ii  ledit                          2.03-5                         all    line editor for interactive programs                         BSD-3-clause
ii  less                           481-2.1                        armhf  pager program similar to more                                GPL-3
ii  libaacs0:armhf                 0.8.1-2                        armhf  free-and-libre implementation of AACS                        LGPL-2.1+
ii  libacl1:armhf                  2.2.52-3                       armhf  Access control list shared library                           GPL LGPL-2.1
ii  libalgorithm-diff-perl         1.19.03-1                      all    module to find differences between files                     Artistic Artistic or GPL-1+ GPL-1+
ii  libalgorithm-diff-xs-perl      0.04-4+b2                      armhf  module to find differences between files (XS accelerated)    Artistic Artistic or GPL-1+ GPL-1+
ii  libalgorithm-merge-perl        0.08-3                         all    Perl module for three-way merge of textual data              Artistic Artistic or GPL-1+ GPL-1+
ii  libapparmor1:armhf             2.11.0-3+deb9u2                armhf  changehat AppArmor library                                   BSD-3-clause BSD-3-clause or GPL-2+ GPL-2 GPL-2+ LGPL-2.1+
ii  libapt-inst2.0:armhf           1.4.11                         armhf  deb package format runtime library                           GPL-2
ii  libapt-pkg5.0:armhf            1.4.11                         armhf  package management runtime library                           GPL-2
ii  libasan3:armhf                 6.3.0-18+rpi1+deb9u1           armhf  AddressSanitizer -- a fast memory error detector             Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libasound2:armhf               1.1.3-5+rpt4                   armhf  shared library for ALSA applications                         LPGL-2.1+
ii  libasound2-data                1.1.3-5+rpt4                   all    Configuration files and profiles for ALSA drivers            LPGL-2.1+
ii  libasound2-dev:armhf           1.1.3-5+rpt4                   armhf  shared library for ALSA applications -- development files    LPGL-2.1+
ii  libasound2-plugin-equal:armhf  0.6-7                          armhf  equalizer plugin for ALSA                                    LGPL-2.1+ other
ii  libass5:armhf                  1:0.13.4-2                     armhf  library for SSA/ASS subtitles rendering                      GPL-2+ ISC other-1
ii  libassuan0:armhf               2.4.3-2                        armhf  IPC library for the GnuPG components                         GAP GAP~FSF GPL-2+ GPL-2+ with libtool exception GPL-3+ LGPL-2.1+ LGPL-3+
ii  libasyncns0:armhf              0.8-6                          armhf  Asynchronous name service query library                      LGPL-2.1+
ii  libatomic1:armhf               6.3.0-18+rpi1+deb9u1           armhf  support library providing __atomic built-in functions        Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libattr1:armhf                 1:2.4.47-2                     armhf  Extended attribute shared library                            GPL-2 LGPL-2.1
ii  libaudit-common                1:2.6.7-2                      all    Dynamic library for security auditing - common files         GPL-2 LGPL-2.1
ii  libaudit1:armhf                1:2.6.7-2                      armhf  Dynamic library for security auditing                        GPL-2 LGPL-2.1
ii  libav-tools                    7:3.2.15-0+deb9u2              all    Compatibility links for libav-tools (transitional package)   BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libavahi-client3:armhf         0.6.32-2                       armhf  Avahi client library                                         GPL GPL-2 LGPL-2.1
ii  libavahi-common-data:armhf     0.6.32-2                       armhf  Avahi common data files                                      GPL GPL-2 LGPL-2.1
ii  libavahi-common3:armhf         0.6.32-2                       armhf  Avahi common library                                         GPL GPL-2 LGPL-2.1
ii  libavahi-core7:armhf           0.6.32-2                       armhf  Avahi's embeddable mDNS/DNS-SD library                       GPL GPL-2 LGPL-2.1
ii  libavc1394-0:armhf             0.5.4-4                        armhf  control IEEE 1394 audio/video devices                        GPL-2+ LGPL-2.1+
ii  libavcodec57:armhf             7:3.2.15-0+deb9u2              armhf  FFmpeg library with de/encoders for audio/video codecs - run BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libavdevice57:armhf            7:3.2.15-0+deb9u2              armhf  FFmpeg library for handling input and output devices - runti BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libavfilter6:armhf             7:3.2.15-0+deb9u2              armhf  FFmpeg library containing media filters - runtime files      BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libavformat57:armhf            7:3.2.15-0+deb9u2              armhf  FFmpeg library with (de)muxers for multimedia containers - r BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libavresample3:armhf           7:3.2.15-0+deb9u2              armhf  FFmpeg compatibility library for resampling - runtime files  BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libavutil55:armhf              7:3.2.15-0+deb9u2              armhf  FFmpeg library with functions for simplifying programming -  BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libbabeltrace-ctf1:armhf       1.5.1-1                        armhf  Common Trace Format (CTF) library                            GPL-2 GPL-3+ LGPL-2.1 MIT
ii  libbabeltrace1:armhf           1.5.1-1                        armhf  Babeltrace conversion libraries                              GPL-2 GPL-3+ LGPL-2.1 MIT
ii  libbdplus0:armhf               0.1.2-2                        armhf  implementation of BD+ for reading Blu-ray Discs              LGPL-2.1+ public-domain
ii  libbind9-140:armhf             1:9.10.3.dfsg.P4-12.3+deb9u8   armhf  BIND9 Shared Library used by BIND                            unknown
ii  libblkid1:armhf                2.29.2-1+deb9u1                armhf  block device ID library                                      BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libbluray1:armhf               1:0.9.3-4                      armhf  Blu-ray disc playback support library (shared library)       BSD-3-clause GPL-2+ LGPL-2.1+ MPL-1.0 MPL-1.0 or GPL-2+ or LGPL-2.1+
ii  libboost-filesystem1.62.0:armh 1.62.0+dfsg-4                  armhf  filesystem operations (portable paths, iteration over direct Boost bjam boostbook
ii  libboost-iostreams1.58.0:armhf 1.58.0+dfsg-5.1+rpi1+b1        armhf  Boost.Iostreams Library                                      Boost
ii  libboost-iostreams1.60.0:armhf 1.60.0+dfsg-6+b2               armhf  Boost.Iostreams Library                                      Boost bjam boostbook
ii  libboost-iostreams1.62.0:armhf 1.62.0+dfsg-4                  armhf  Boost.Iostreams Library                                      Boost bjam boostbook
ii  libboost-system1.62.0:armhf    1.62.0+dfsg-4                  armhf  Operating system (e.g. diagnostics support) library          Boost bjam boostbook
ii  libbs2b0:armhf                 3.1.0+dfsg-2.2                 armhf  Bauer stereophonic-to-binaural DSP library                   FSF-unlimited GPL-2+ GPL-3+ MIT MIT+FSF-public
ii  libbsd0:armhf                  0.8.3-1+deb9u1                 armhf  utility functions from BSD systems - shared library          BSD-2-clause BSD-2-clause-NetBSD BSD-2-clause-author BSD-2-clause-verbatim BSD-3-clause BSD-3-clause-Peter-Wemm BSD-3-clause-Regents BSD-4-clause-Christopher-G-Demetriou BSD-4-clause-Niels-Provos BSD-5-clause-Peter-Wemm Beerware Expat ISC ISC-Original public-domain public-domain-Colin-Plumb
ii  libbz2-1.0:armhf               1.0.6-8.1                      armhf  high-quality block-sorting file compressor library - runtime GPL-2
ii  libc-ares2:armhf               1.14.0-1~bpo9+1                armhf  asynchronous name resolver                                   GPL
ii  libc-bin                       2.24-11+deb9u4                 armhf  GNU C Library: Binaries                                      GPL-2 LGPL-2.1
ii  libc-dev-bin                   2.24-11+deb9u4                 armhf  GNU C Library: Development binaries                          GPL-2 LGPL-2.1
ii  libc-l10n                      2.24-11+deb9u4                 all    GNU C Library: localization files                            GPL-2 LGPL-2.1
ii  libc6:armhf                    2.24-11+deb9u4                 armhf  GNU C Library: Shared libraries                              GPL-2 LGPL-2.1
ii  libc6-dbg:armhf                2.24-11+deb9u4                 armhf  GNU C Library: detached debugging symbols                    GPL-2 LGPL-2.1
ii  libc6-dev:armhf                2.24-11+deb9u4                 armhf  GNU C Library: Development Libraries and Header Files        GPL-2 LGPL-2.1
ii  libcaca0:armhf                 0.99.beta19-2.1~deb9u2         armhf  colour ASCII art library                                     LGPL
ii  libcairo2:armhf                1.14.8-1+rpi1                  armhf  Cairo 2D vector graphics library                             LGPL-2.1
ii  libcamlp4-ocaml-dev            4.02.1+3-2                     armhf  Pre Processor Pretty Printer for OCaml (libraries)           LGPL-2-exc
ii  libcap-ng0:armhf               0.7.7-3                        armhf  An alternate POSIX capabilities library                      GPL-2 GPL-3 LGPL-2.1
